,rent,borough,zip,year
7305,1925.2,manhattan,10040.0,2019
7306,2181.5,queens,11374.0,2019
7307,1973.6,bronx,10465.0,2019
7308,3525.1,manhattan,10019.0,2019
7309,1982.7,manhattan,10034.0,2019
7310,2815.3,manhattan,10021.0,2019
7311,3159.4,brooklyn,11217.0,2019
7312,2988.7,queens,11101.0,2019
7313,2809.1,manhattan,10026.0,2019
7314,3052.6,brooklyn,11222.0,2019
7315,3086.7,brooklyn,11231.0,2019
7316,2246.6,queens,11106.0,2019
7317,3705.3,brooklyn,11249.0,2019
7318,2349.7,queens,11105.0,2019
7319,3759.0,manhattan,10010.0,2019
7320,2495.5,manhattan,10035.0,2019
7321,2094.4,queens,11103.0,2019
7322,3315.3,manhattan,10022.0,2019
7323,3727.6,manhattan,10014.0,2019
7324,2225.3,manhattan,10030.0,2019
7325,2461.8,queens,11102.0,2019
7326,3172.1,manhattan,10065.0,2019
7327,4862.1,manhattan,10013.0,2019
7328,3315.1,manhattan,10036.0,2019
7329,2479.1,manhattan,10075.0,2019
7330,4088.6,manhattan,10001.0,2019
7331,3888.1,manhattan,10038.0,2019
7332,3450.0,manhattan,10012.0,2019
7333,2184.9,manhattan,10037.0,2019
7334,3190.1,manhattan,10017.0,2019
7335,3788.1,manhattan,10018.0,2019
7336,5984.1,manhattan,10007.0,2019
7337,3617.5,manhattan,10280.0,2019
7338,3749.9,manhattan,10005.0,2019
7339,6016.3,manhattan,10282.0,2019
7340,4866.6,manhattan,10069.0,2019
7341,3951.3,manhattan,10004.0,2019
7342,3500.2,manhattan,10006.0,2019
7343,3138.6,queens,11109.0,2019
7344,2532.7,queens,11385.0,2019
7345,1666.6,bronx,10467.0,2019
7346,2267.8,brooklyn,11226.0,2019
7347,2091.5,brooklyn,11220.0,2019
7348,2501.9,brooklyn,11207.0,2019
7349,1861.1,brooklyn,11214.0,2019
7350,3264.9,manhattan,10025.0,2019
7351,1595.3,staten_island,10314.0,2019
7352,2633.6,brooklyn,11221.0,2019
7353,1772.2,bronx,10458.0,2019
7354,2088.6,brooklyn,11235.0,2019
7355,1777.3,brooklyn,11223.0,2019
7356,2917.1,brooklyn,11206.0,2019
7357,2119.8,brooklyn,11229.0,2019
7358,1839.7,queens,11355.0,2019
7359,2119.9,brooklyn,11230.0,2019
7360,2333.5,brooklyn,11233.0,2019
7361,1688.7,bronx,10457.0,2019
7362,1732.7,bronx,10462.0,2019
7363,2576.1,manhattan,10029.0,2019
7364,2328.2,brooklyn,11218.0,2019
7365,3199.9,manhattan,10002.0,2019
7366,2164.8,queens,11375.0,2019
7367,2346.9,bronx,10463.0,2019
7368,2891.2,brooklyn,11215.0,2019
7369,2337.8,brooklyn,11213.0,2019
7370,2279.3,brooklyn,11210.0,2019
7371,1941.3,brooklyn,11209.0,2019
7372,2662.6,manhattan,10027.0,2019
7373,3335.7,brooklyn,11211.0,2019
7374,3481.1,brooklyn,11201.0,2019
7375,2246.2,manhattan,10032.0,2019
7376,3530.0,manhattan,10023.0,2019
7377,2833.1,manhattan,10128.0,2019
7378,3182.7,brooklyn,11238.0,2019
7379,2578.4,brooklyn,11216.0,2019
7380,3337.2,manhattan,10009.0,2019
7381,1662.8,queens,11435.0,2019
7382,3166.4,manhattan,10024.0,2019
7383,2366.1,brooklyn,11225.0,2019
7384,2349.0,manhattan,10033.0,2019
7385,2473.8,manhattan,10031.0,2019
7386,2261.0,queens,11354.0,2019
7387,3466.4,manhattan,10003.0,2019
7388,3673.8,manhattan,10016.0,2019
7389,3845.6,manhattan,10011.0,2019
7390,1665.4,bronx,10461.0,2019
7391,2671.8,brooklyn,11237.0,2019
7392,2888.6,manhattan,10028.0,2019
7393,1633.4,brooklyn,11228.0,2019
7394,2783.3,brooklyn,11205.0,2019
7395,1928.9,manhattan,10040.0,2019
7396,2198.9,queens,11374.0,2019
7397,2020.9,bronx,10465.0,2019
7398,3544.1,manhattan,10019.0,2019
7399,1991.9,manhattan,10034.0,2019
7400,2805.7,manhattan,10021.0,2019
7401,3163.4,brooklyn,11217.0,2019
7402,3062.9,queens,11101.0,2019
7403,2827.2,manhattan,10026.0,2019
7404,3058.5,brooklyn,11222.0,2019
7405,3080.6,brooklyn,11231.0,2019
7406,2239.3,queens,11106.0,2019
7407,3748.7,brooklyn,11249.0,2019
7408,2383.4,queens,11105.0,2019
7409,3776.4,manhattan,10010.0,2019
7410,2486.5,manhattan,10035.0,2019
7411,2123.0,queens,11103.0,2019
7412,3346.1,manhattan,10022.0,2019
7413,3737.1,manhattan,10014.0,2019
7414,2233.4,manhattan,10030.0,2019
7415,2471.4,queens,11102.0,2019
7416,3186.5,manhattan,10065.0,2019
7417,4864.7,manhattan,10013.0,2019
7418,3345.3,manhattan,10036.0,2019
7419,2503.2,manhattan,10075.0,2019
7420,4130.1,manhattan,10001.0,2019
7421,3914.1,manhattan,10038.0,2019
7422,3448.5,manhattan,10012.0,2019
7423,2214.3,manhattan,10037.0,2019
7424,3205.4,manhattan,10017.0,2019
7425,3799.8,manhattan,10018.0,2019
7426,6030.1,manhattan,10007.0,2019
7427,3637.3,manhattan,10280.0,2019
7428,3768.9,manhattan,10005.0,2019
7429,6059.6,manhattan,10282.0,2019
7430,4887.4,manhattan,10069.0,2019
7431,3970.2,manhattan,10004.0,2019
7432,3533.6,manhattan,10006.0,2019
7433,3229.3,queens,11109.0,2019
7434,2566.7,queens,11385.0,2019
7435,1660.8,bronx,10467.0,2019
7436,2266.3,brooklyn,11226.0,2019
7437,2111.8,brooklyn,11220.0,2019
7438,2469.4,brooklyn,11207.0,2019
7439,1843.8,brooklyn,11214.0,2019
7440,3279.3,manhattan,10025.0,2019
7441,1661.0,staten_island,10314.0,2019
7442,2598.3,brooklyn,11221.0,2019
7443,1799.9,bronx,10458.0,2019
7444,2112.1,brooklyn,11235.0,2019
7445,1784.8,brooklyn,11223.0,2019
7446,2954.4,brooklyn,11206.0,2019
7447,1967.2,brooklyn,11229.0,2019
7448,1884.5,queens,11355.0,2019
7449,2075.5,brooklyn,11230.0,2019
7450,2382.8,brooklyn,11233.0,2019
7451,1658.8,bronx,10457.0,2019
7452,1764.8,bronx,10462.0,2019
7453,2586.0,manhattan,10029.0,2019
7454,2351.7,brooklyn,11218.0,2019
7455,3225.2,manhattan,10002.0,2019
7456,2180.7,queens,11375.0,2019
