year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2022,BRONX,10452,56,12,10,1895.0636363636363,417875.1
2022,BRONX,10453,69,8,10,1857.35,677833.4
2022,BRONX,10454,90,9,10,2595.5375,652391.5
2022,BRONX,10455,72,8,10,2090.2625,462821.0
2022,BRONX,10456,98,9,10,2152.9375,454902.9
2022,BRONX,10457,69,11,10,1950.83,543640.7
2022,BRONX,10458,59,11,10,2114.018181818182,487849.6
2022,BRONX,10460,44,5,10,2020.78,594086.1
2022,BRONX,10461,58,17,10,1934.05,655278.1
2022,BRONX,10462,58,12,10,1954.77,200402.2
2022,BRONX,10463,73,15,10,2524.1545454545453,434158.3
2022,BRONX,10465,39,15,10,2330.01,613625.8
2022,BRONX,10466,119,8,10,1946.7142857142856,560980.3
2022,BRONX,10467,88,12,10,1950.8,455648.8
2022,BRONX,10468,65,6,10,1796.5166666666669,339862.6
2022,BRONX,10469,122,9,10,1883.0111111111112,592184.8
2022,BRONX,10471,15,11,10,2323.057142857143,748826.8
2022,BRONX,10472,18,5,10,2164.625,627061.7
2022,BRONX,10473,62,5,10,2450.05,521522.2
2022,BROOKLYN,11201,453,17,10,3923.4882352941177,1319598.7
2022,BROOKLYN,11203,273,10,10,2282.75,678205.0
2022,BROOKLYN,11205,732,10,10,3300.3,998726.3
2022,BROOKLYN,11206,996,11,10,3236.7818181818184,920709.6
2022,BROOKLYN,11207,268,12,10,3120.4,564686.7
2022,BROOKLYN,11208,167,10,10,2427.66,661930.2
2022,BROOKLYN,11209,99,10,10,2035.3,988649.4
